Vendor,GRAPHTEC Corporation,,,,,,,,,,,,,,,,,,
Model,GL840,,,,,,,,,,,,,,,,,,
Version,Ver1.29,,,,,,,,,,,,,,,,,,
MaxChannel,120,,,,,,,,,,,,,,,,,,
GSStartCH,120,,,,,,,,,,,,,,,,,,
WLStartCH,120,,,,,,,,,,,,,,,,,,
MaxLogicChannel,0,,,,,,,,,,,,,,,,,,
Logic/Pulse,Pulse,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
TempUnit,C,,,,,,,,,,,,,,,,,,
Sampling interval,1s,,,,,,,,,,,,,,,,,,
Total Data Points,34810,,,,,,,,,,,,,,,,,,
Trigger,0,,,,,,,,,,,,,,,,,,
Start time,28/01/2021,07:54:16,,,,,,,,,,,,,,,,,
End time,28/01/2021,17:34:28,,,,,,,,,,,,,,,,,
Trigger time,28/01/2021,07:54:17,,,,,,,,,,,,,,,,,
AMP settings,,,,,,,,,,,,,,,,,,,
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH3,T3_mfOut,M,TEMP,TC_K,500degC,Off,150,-25,degC,9,22,8,1,Off,500,0,500,0,degC
CH4,T4_exvOut,M,TEMP,TC_K,500degC,Off,150,-25,degC,21,0,21,1,Off,500,0,500,0,degC
CH96,exv,M,DC,10V,,Off,100,0,%,5,23,30,1,On,10,0,100,0,%
CH98,mdotr,M,DC,10V,,Off,600,0,kg/h,28,0,17,1,On,10,2,600,0,kg/h
CH103,P3_mfOut,M,DC,5V,,Off,35,0,bar,9,22,8,1,On,2.997,1.002,20,0,bar
CH104,P4_exvOut,M,DC,5V,,Off,35,0,bar,21,0,21,1,On,2.996,1.002,20,0,bar
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line,,,,,,,,,
Pulse1,REVO,H,Off,1500,0,RPM,28,5,6,1,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,
Date&Time,CH3,CH4,CH96,CH98,CH103,CH104,Pulse1,,,,,,,,,,,,
Time,degC,degC,%,kg/h,bar,bar,RPM,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.028,5.05,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.3,100.06,-0.3,5.03,5.048,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.025,5.045,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.023,5.045,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.3,100.06,-0.3,5.023,5.045,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.3,100.06,-0.3,5.025,5.045,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.02,5.045,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.02,5.04,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.018,5.04,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.018,5.038,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.018,5.038,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.015,5.038,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.2,5.015,5.038,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,0.3,5.013,5.035,0,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,0.2,5.013,5.038,180,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.018,5.04,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,-0.3,5.018,5.04,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.06,-0.3,5.015,5.038,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,-0.3,5.015,5.038,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,-0.3,5.013,5.038,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,-0.3,5.015,5.038,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,-0.3,5.01,5.035,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,-0.3,5.01,5.033,300,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.2,100.07,-0.2,5.008,5.033,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.1,100.07,-0.3,5.01,5.033,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.1,100.07,-0.3,5.008,5.033,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.1,100.07,-0.3,5.008,5.033,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,19.1,100.07,0.2,5.005,5.03,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,18.8,100.07,0.9,5.246,4.383,300,,,,,,,,,,,,
28/01/2021 07:54,19.6,15.8,100.08,6.1,5.87,4.25,360,,,,,,,,,,,,
28/01/2021 07:54,21.1,13.9,100.07,11.3,6.451,4.12,360,,,,,,,,,,,,
28/01/2021 07:54,21.7,12.2,100.07,12.5,6.774,4.032,360,,,,,,,,,,,,
28/01/2021 07:54,21.3,9.9,100.07,12.5,6.945,3.944,360,,,,,,,,,,,,
28/01/2021 07:54,20.5,8.1,100.07,12.1,6.96,3.837,360,,,,,,,,,,,,
28/01/2021 07:54,19.9,6.8,100.06,11.9,6.789,3.714,300,,,,,,,,,,,,
28/01/2021 07:54,19.1,5.9,100.07,15,7.093,3.551,360,,,,,,,,,,,,
28/01/2021 07:54,19.4,7.5,100.07,25.1,7.348,3.423,420,,,,,,,,,,,,
